RUN,IPTS#,ITEMS-ID,SAMPLE,FORMULA,MASS,HEIGHT,CONTAINER,TITLE,START TIME,END TIME,DURATION,PROTON CHARGE,FREQUENCY,WAVELENGTH,VAN RUN,VAN BACKGROUND RUN,EMPTY CAN RUN,GUIDE,TEMP,TOTAL COUNTS,MONITOR,SLIT1 WIDTH,SLIT1 HCENTER,SLIT1 HEIGHT,SLIT1 VCENTER,SLIT2 WIDTH,SLIT2 HCENTER,SLIT2 HEIGHT,SLIT2 VCENTER,PAC SLOT,PAC Barcode,USER,COMMENTS,SE
52954,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M,2022/05/27/10:01:40,2022/05/27/13:01:22,10782.3,1.50000334674e+13,59.9983811399,1.5,51887,51908,51878,-54.004,292.99349961,80506764,1494943,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,15.0,PAC08C0103,CB396ORNLSTANDREWS,PAC,CCR + PAC
52955,IPTS-28475,81947,LiMg_0.2_M,Li2.2-Mg2-S2.8-P0.2-O12,4.7253,70.0,PAC08,LiMg_0.2_M,2022/05/27/13:06:53,2022/05/27/16:25:35,11921.4,1.50000412456e+13,59.9983813916,1.5,51887,51908,51878,-54.004,293.000385154,87153988,1498643,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,17.0,PAC08C0143,CB396ORNLSTANDREWS,PAC,CCR + PAC
52956,IPTS-28475,81943,LiMg_0_M,Li2-Mg2-S3-O12,4.5665,67.0,PAC08,LiMg_0_M,2022/05/27/16:33:01,2022/05/27/19:34:36,10894.5,1.50000904152e+13,59.9983754071,1.5,51887,51908,51878,-54.004,293.000458772,73214729,1495326,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,13.0,PAC08C0107,CB396ORNLSTANDREWS,PAC,CCR + PAC
52957,IPTS-28475,81944,LiMg_0.05_M,Li2.05-Mg2-S2.95-P0.05-O12,4.3249,65.0,PAC08,LiMg_0.05_M,2022/05/27/19:40:03,2022/05/27/22:39:33,10770.5,1.50000469458e+13,59.998382854,1.5,51887,51908,51878,-54.004,293.000328315,80040743,1490270,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,14.0,PAC08C0146,CB396ORNLSTANDREWS,PAC,CCR + PAC
52958,IPTS-28475,81946,LiMg_0.15_M,Li2.15-Mg2-S2.85-P0.15-O12,4.7063,70.0,PAC08,LiMg_0.15_M,2022/05/27/22:45:11,2022/05/28/01:44:45,10774.2,1.50000398116e+13,59.9983824927,1.5,51887,51908,51878,-54.004,293.000391445,83751694,1489679,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,16.0,PAC08C0130,CB396ORNLSTANDREWS,PAC,CCR + PAC
52959,IPTS-28475,81948,LiMg_0.25_M,Li2.25-Mg2-S2.75-P0.25-O12,4.642,67.0,PAC08,LiMg_0.25_M,2022/05/28/01:50:36,2022/05/28/07:00:24,18587.7,1.50000211827e+13,59.9983630427,1.5,51887,51908,51878,-54.004,293.000251521,88274741,1509514,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,18.0,PAC08C0180,CB396ORNLSTANDREWS,PAC,CCR + PAC
52960,IPTS-28475,81949,LiMg_0.3_M,Li2.6-Mg2-S2.7-P0.3-O12,4.5549,65.0,PAC08,LiMg_0.3_M,2022/05/28/07:06:37,2022/05/28/10:05:05,10708.4,1.50000434628e+13,59.9983686201,1.5,51887,51908,51878,-54.004,293.000452972,88102972,1488568,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,19.0,PAC08C0165,CB396ORNLSTANDREWS,PAC,CCR + PAC
52961,IPTS-28475,81952,LiY_0.025_D,Li1.025-Y0.975-Ca0.025-O2,4.1818,41.0,PAC08,LiY_0.025_D,2022/05/28/10:11:27,2022/05/28/12:10:33,7145.75,1.00000319932e+13,59.9983795129,1.5,51887,51908,51878,-54.004,293.000729134,58170504,990986,13.995,-0.0027,44.0004,-0.0002,12.0,0.0002,32.5002,-1.2497,22.0,PAC08C0176,CB396ORNLSTANDREWS,PAC,CCR + PAC
53246,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg0.1 - Initial RT,2022/06/22/08:45:46,2022/06/22/08:58:15,749.121,1.03979013287e+12,59.9983798937,2.665,52970,51907,0,-54.004,23.5669429251,2683389,159850,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS,Furnace
53247,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg0.1 - Initial RT - CWL 1.5A,2022/06/22/09:00:03,2022/06/22/09:20:34,1231.53,1.72775215476e+12,59.9983573248,1.5,52971,53014,53239,-54.004,23.5498324184,6496748,169064,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS,Furnace
53248,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M Heating to 100C,2022/06/22/09:22:39,2022/06/22/09:48:15,1535.93,2.14916467816e+12,59.9983711946,1.5,52971,53014,53239,-54.004,52.8090571167,8088327,211067,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53249,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M 100C,2022/06/22/09:58:16,2022/06/22/12:56:56,10720.3,1.50001377991e+13,59.9983765233,1.5,52971,53014,53239,-54.004,100.696559329,53714646,1472283,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53250,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M Heating to 200C,2022/06/22/12:56:56,2022/06/22/13:20:41,1424.64,1.92293838667e+12,59.9983912328,1.5,52971,53014,53239,-54.004,142.029259124,6841835,189852,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53251,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M 200C,2022/06/22/13:30:42,2022/06/22/16:38:33,11271.0,1.5000152885e+13,59.9983807889,1.5,52971,53014,53239,-54.004,200.212598447,52734113,1480190,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53252,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M Heating to 300C,2022/06/22/16:38:33,2022/06/22/17:02:07,1413.92,1.9872799502e+12,59.9983867378,1.5,52971,53014,53239,-54.004,246.628097254,6977981,195164,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53253,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M 300C,2022/06/22/17:12:08,2022/06/22/20:19:21,11232.8,1.50000074468e+13,59.9983680064,1.5,52971,53014,53239,-54.004,300.248754768,52754328,1473110,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53254,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M Heating to 400C,2022/06/22/20:19:21,2022/06/22/20:39:45,1224.15,1.71701820885e+12,59.9983647619,1.5,52971,53014,53239,-54.004,340.149349841,6012399,171321,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53255,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M 400C,2022/06/22/20:49:46,2022/06/22/23:49:31,10785.2,1.50001058223e+13,59.9983697513,1.5,52971,53014,53239,-54.004,400.023912153,52742615,1474671,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53256,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M Heating to 500C,2022/06/22/23:49:31,2022/06/23/00:09:51,1219.77,1.70497121767e+12,59.99834092,1.5,52971,53014,53239,-54.004,446.368254167,6033567,168095,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53257,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M 500C,2022/06/23/00:19:52,2022/06/23/03:18:31,10718.8,1.50000463805e+13,59.9983697897,1.5,52971,53014,53239,-54.004,500.011701751,53454960,1475947,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
53258,IPTS-28475,81945,LiMg_0.1_M,Li2.1-Mg2-S2.9-P0.1-O12,4.5037,70.0,PAC08,LiMg_0.1_M Cooling,2022/06/23/03:18:31,2022/06/23/09:05:18,20807.2,2.61794368249e+13,59.9983794358,1.5,52971,53014,53239,-54.004,134.900722306,92118064,2575432,13.995,-0.0027,44.0004,-0.0002,12.016,0.0078,32.5008,-1.25,0.0, ,CB396ORNLSTANDREWS,MICAS Vacuum furnace,Furnace
b'54026',b'IPTS-28475',81945,b'LiMg_0.1_M',b'Li2.1-Mg2-S2.9-P0.1-O12',4.5037,70.0,b'PAC08',b'LiMg_0.1_M',b'2022-12-04T05:27:46.009641667-05:00',b'2022-12-04T08:34:56.036289667-05:00',11230.026,15002039330540.0,59.99975276834514,1.5,54022,54010,54019,-54.001,292.98503527099706,95421525,1628454,14.003599999999999,0.0017999999999993577,44.0002,-9.999999999976694e-05,12.000599999999999,-0.00010000000000021103,32.5012,-1.25,24.0,PAC08C0103,b'CB396ORNLSTANDREWS',b'PAC',CCR + PAC
